🇨🇳央视频道,#genre#
黑龙江卫视,http://127.0.0.1:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视,http://127.0.0.1:35455/itv/6000000001000016510.m3u8?cdn=wasusyt
黑龙江卫视,http://127.0.0.1:35455/itv/1000000005000265029.m3u8?cdn=ystenlive
黑龙江卫视,http://127.0.0.1:35455/tptv/G_HEILONGJIANG-HD-265-8M.m3u8
河南卫视,http://127.0.0.1:35455/itv/5000000011000031119.m3u8?cdn=bestzb
河南卫视,http://127.0.0.1:35455/tptv/G_HENAN-CQ.m3u8
河北卫视,http://127.0.0.1:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河北卫视,http://127.0.0.1:35455/tptv/G_HEBEI-CQ.m3u8
海南卫视,http://127.0.0.1:35455/itv/5000000004000006211.m3u8?cdn=bestzb
海南卫视,http://127.0.0.1:35455/tptv/HD-8000k-1080P-lvyoustv.m3u8
贵州卫视,http://127.0.0.1:35455/itv/5000000004000025843.m3u8?cdn=bestzb
贵州卫视,http://127.0.0.1:35455/tptv/G_GUIZHOU-CQ.m3u8
广西卫视,http://127.0.0.1:35455/itv/5000000011000031118.m3u8?cdn=bestzb
广东卫视,http://127.0.0.1:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,http://127.0.0.1:35455/itv/6000000001000031076.m3u8?cdn=wasusyt
广东卫视,http://127.0.0.1:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
广东卫视,http://127.0.0.1:35455/tptv/G_GUANGDONG-HD-265-8M.m3u8
赣榆电视台,http://127.0.0.1:35455/tptv/HD-2500k-1080P-ganyutv.m3u8
甘肃卫视,http://127.0.0.1:35455/itv/5000000011000031121.m3u8?cdn=bestzb
东南卫视,http://127.0.0.1:35455/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视,http://127.0.0.1:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
东南卫视,http://127.0.0.1:35455/tptv/H265-5500k-1080P-dongnanstv.m3u8
东方卫视,http://127.0.0.1:35455/itv/6000000001000003639.m3u8?cdn=wasusyt
东方卫视,http://127.0.0.1:35455/itv/5000000004000014098.m3u8?cdn=bestzb
东方卫视,http://127.0.0.1:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
东方卫视,http://127.0.0.1:35455/tptv/G_DONGFANG-HD-265-8M.m3u8
东方财经,http://127.0.0.1:35455/itv/5000000007000010003.m3u8?cdn=bestzb
常州新闻,http://127.0.0.1:35455/tptv/jsczxinwen.m3u8
常州生活,http://127.0.0.1:35455/tptv/jsczshenghuo.m3u8
常州公共,http://127.0.0.1:35455/tptv/jsczgonggong.m3u8
常州都市,http://127.0.0.1:35455/tptv/jsczdushi.m3u8
北京卫视,http://127.0.0.1:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
北京卫视,http://127.0.0.1:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
北京卫视,http://127.0.0.1:35455/tptv/G_BEIJING-HD-265-8M.m3u8
安徽卫视,http://127.0.0.1:35455/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视,http://127.0.0.1:35455/itv/6000000001000009954.m3u8?cdn=wasusyt
安徽卫视,http://127.0.0.1:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
安徽卫视,http://127.0.0.1:35455/tptv/G_ANHUI-HD-265-8M.m3u8


🇨🇳体育频道,#genre#
五星体育,http://127.0.0.1:35455/itv/5000000010000017540.m3u8?cdn=bestzb
睛彩篮球,http://127.0.0.1:35455/tptv/HD-8000k-1080P-miguaoyun1.m3u8
睛彩竞技,http://127.0.0.1:35455/tptv/HD-8000k-1080P-miguaoyun2.m3u8
高尔夫网球,http://127.0.0.1:35455/tptv/G_CCTV-GOLF-CQ.m3u8
咪咕视频1,http://127.0.0.1:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕视频2,http://127.0.0.1:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive
