央视频道,#genre#
CCTV11 (IPV6)(1280x720),https://stream1.freetv.fun/191fef2b701e465dff1d89622c6e46fd5c01c09ed6f6c1852ca2fb1057aa59e2.m3u8
CCTV11 (IPV6)(1280x720),https://stream1.freetv.fun/6bd8aef957f073e623819531540eb8a82b74577139a1cefc74ade6b198de5120.m3u8
CCTV11 (IPV6)(1920x1080),https://stream1.freetv.fun/b45e0933de2fd948e002e838d3a0204ab5ceb8ede260449732e06ecb528daa6d.m3u8
CCTV11 (IPV6)(1920x1080),https://stream1.freetv.fun/bc9943cba86e6a1e391dbe77ce1c3861b51cd40d98f67dddbeec283a2f7d924a.m3u8
CCTV11 (IPV6)(1920x1080),https://stream1.freetv.fun/605faef0eb1fa45fe01a821b6f36921947c09db096d950b9579686eaba936eea.m3u8
CCTV11 HD(1920x1080),https://stream1.freetv.fun/6aa63517d0b710c303c2438feb2d8c13a3be8b6fa3f69029a26414716de2dc91.ctv
CCTV11 HD(1920x1080),https://stream1.freetv.fun/f3d43f22fa87cc1eb2467aa4c31d9fc859abcea9b3e9bd05c9394f11b2f53c02.m3u8
CCTV11 戏曲(1280x720),https://stream1.freetv.fun/b4dceca4595c1e4e1f1b70d594db4a2a6100af7fc7d888208a03027f1560a6fa.m3u8
CCTV11 戏曲(1920x1080),https://stream1.freetv.fun/2baa0b70c857bf365d782e050cb5ba1e011ec1445877b809099790d5328896fd.m3u8
CCTV11(1920x1080),https://stream1.freetv.fun/6e15e3e0fcdcce76596c6cb8b8bfa540a5a582e99e8dae2768a1bf23b0d40c83.m3u8
CCTV11(1920x1080),https://stream1.freetv.fun/348c2672cf280e44ab2521d44bc81b5a44589586203aa131148b2c5ba64839ce.m3u8
CCTV11(1920x1080),https://stream1.freetv.fun/c702c2ab17a3ab032f3aa87cca46458d3953d4461edcbf3f8da9ac1a0c4e1a30.m3u8
CCTV11(1920x1080),https://stream1.freetv.fun/13c7ecd3ad78ff4fcfd5c76785a0094b3fcaad54070a998b8aaa61d9c891aa02.m3u8
CCTV11(1920x1080),https://stream1.freetv.fun/79befcf5989356015efb837801dff4d5ae628048a513fd2295e5b1f6f6ae660b.m3u8
CCTV11(1920x1080),https://stream1.freetv.fun/8a564c2d24a80b38c78bacde5094ff17c154ea55f297e00294fe0a0dae0592d2.m3u8
CCTV11(1920x1080),https://stream1.freetv.fun/0a0b8a3732aed7fb2186d18523ba65b504f5c6bddccb694fda124c4906e3a9c6.m3u8
CCTV12 (IPV6)(1920x1080),https://stream1.freetv.fun/187813de9b60e0ebe8b28ab5d5acb023e174ca7e8db091d66e3cf10707e452f5.m3u8
CCTV12 (IPV6)(1920x1080),https://stream1.freetv.fun/f16439d9ba8dbf5b2c1d80a61960936a9203a6eff739fb96494b5d4a425b6e28.m3u8
